Linear,Digital,Overlap
22180,8065,59
22180,8872,67
22180,9678,72
22180,10485,75
22180,11291,88
22180,12098,90
22180,12904,95
22180,13711,99
22180,14517,106
22180,15324,108
22180,16131,112
22180,16937,114
22180,17744,115
22180,18550,119
22180,19357,125
22180,20163,129
22180,20970,134
22180,21776,144
22180,22583,150
22180,23389,156
22180,24196,162
22180,25003,169
22180,25809,178
22180,26616,181
22180,27422,186
22180,28229,191
22180,29035,196
22180,29842,206
22180,30648,215
22180,31455,220
22180,32262,225
22180,33068,232
22180,33875,239
22180,34681,243
22180,35488,249
22180,36294,253
22180,37101,254
22180,37907,259
22180,38714,266
22180,39520,275
22180,40327,280
22180,41134,287
22180,41940,291
22180,42747,298
22180,43553,309
22180,44360,313
22180,45166,316
22180,45973,316
22180,46779,322
22180,47586,330
22180,48393,340
22180,49199,344
22180,50006,347
22180,50812,348
22180,51619,353
22180,52425,357
22180,53232,360
22180,54038,366
22180,54845,374
22180,55651,377
22180,56458,386
22180,57265,389
22180,58071,395
22180,58878,398
22180,59684,406
22180,60491,413
22180,61297,417
22180,62104,423
22180,62910,430
22180,63717,434
22180,64524,440
22180,65330,453
22180,66137,460
22180,66943,465
22180,67750,471
22180,68556,473
22180,69363,477
22180,70169,479
22180,70976,480
22180,71782,487
22180,72589,494
22180,73396,501
22180,74202,510
22180,75009,518
22180,75815,525
22180,76622,532
22180,77428,538
22180,78235,545
22180,79041,557
22180,79848,564
22180,80655,569
24196,0,0
24196,806,0
24196,1613,10
24196,2419,13
24196,3226,20
24196,4032,28
24196,4839,31
24196,5645,39
24196,6452,48
24196,7258,57
24196,8065,63
24196,8872,72
24196,9678,78
24196,10485,83
24196,11291,96
24196,12098,98
24196,12904,103
24196,13711,107
24196,14517,114
24196,15324,116
24196,16131,120
24196,16937,123
24196,17744,124
24196,18550,129
24196,19357,135
24196,20163,139
24196,20970,145
24196,21776,156
24196,22583,162
24196,23389,169
24196,24196,176
24196,25003,183
24196,25809,192
24196,26616,195
24196,27422,201
24196,28229,206
24196,29035,211
24196,29842,221
24196,30648,231
24196,31455,237
24196,32262,243
24196,33068,250
24196,33875,258
24196,34681,262
24196,35488,268
24196,36294,272
24196,37101,274
24196,37907,280
24196,38714,288
24196,39520,297
24196,40327,302
24196,41134,309
24196,41940,313
24196,42747,320
24196,43553,331
24196,44360,339
24196,45166,342
24196,45973,342
24196,46779,349
24196,47586,358
24196,48393,368
24196,49199,373
24196,50006,378
